NAME,longitude,latitude
33rd Street,-73.9884338624142,40.74852799612729
23rd Street,-73.99301569677874,40.74280972450309
14th Street,-73.9970623846149,40.73736280709028
9th Street,-73.99867212490096,40.73407031118821
Christopher Street,-74.00726153015935,40.73298777465987
Hoboken,-74.02766734551554,40.734982129219176
Pavonia/Newport,-74.033797737573,40.72703565933634
Exchange Place,-74.03246228972857,40.71680104656179
World Trade Center Station,-74.01072598490782,40.71176893177342
Grove Street,-74.04262769544036,40.7196024429012
Journal Square,-74.0624708425394,40.731868521072684
Newark,-74.16355689786792,40.73507444498637
Harrison,-74.15701890129421,40.73844066020575
